stem,country,status,n_chains,draws_per_chain_min,draws_per_chain_max,parameters_diagnosed,parameters_converged,worst_rhat_rank,min_bulk_ess,min_tail_ess,transition_rate_min,transition_rate_mean,unique_states_min,unique_states_mean,accepted_fraction_min,accepted_fraction_mean,accepted_fraction_max,posterior_log_prob_mean,posterior_log_prob_max
ident_smoke_fixreport_fixveasym_adapt_s04_w20d20,South_Africa,ok,4,20,20,2,0,2.8213392977995118,5.00402850351592,5.0356540116464705,0.15789473684210525,0.3026315789473684,4,6.75,0.175,0.3,0.4,-364.4928661137499,-345.98365714879753
ident_smoke_fixreport_fixveasym_adapt_s04_w20d20,Thailand,ok,4,20,20,2,0,3.0228997928771366,4.874384324306723,7.117998125915818,0.21052631578947367,0.2631578947368421,5,6.0,0.1,0.2625,0.4,-1171.8920803235765,-1163.8980135355366
ident_smoke_fixreport_fixveasym_adapt_s04_w20d20,Japan,ok,4,20,20,2,0,2.360911584422052,4.749477527762513,5.9809815280358505,0.0,0.14473684210526316,1,3.75,0.1,0.15625,0.225,-2263.626942462243,-2219.5563685595525
ident_smoke_fixreport_fixveasym_adapt_s04_w20d20,China,ok,4,20,20,2,0,3.560473660721584,4.852815693874489,13.142112125162972,0.05263157894736842,0.09210526315789473,2,2.75,0.175,0.25,0.325,-4256.206086724369,-4252.363613601883
ident_stage1_fixreport_fixveasym_comp_s02_w60d60,South_Africa,ok,4,60,60,2,0,2.5373842569588314,4.9999306580311424,9.242637182310336,0.3559322033898305,0.4025423728813559,22,24.75,0.4,0.41875,0.43333333333333335,-425.74158295527,-408.565789068645
ident_stage1_fixreport_fixveasym_comp_s02_w60d60,Thailand,ok,4,60,60,2,0,2.9884416269444785,4.32800706382999,5.189613426373589,0.0,0.19491525423728814,1,12.5,0.2,0.2729166666666667,0.3416666666666667,-1164.0788617500996,-1162.9404617364462
ident_stage1_fixreport_fixveasym_comp_s02_w60d60,Japan,ok,4,60,60,2,0,3.0873071713756324,4.421433913919534,9.289807374850524,0.1016949152542373,0.1864406779661017,7,12.0,0.19166666666666668,0.2166666666666667,0.25833333333333336,-2225.5507125178456,-2209.319702831939
ident_stage1_fixreport_fixveasym_comp_s02_w60d60,China,ok,4,60,60,2,0,4.133483942784588,4.310068810402675,4.488774828368329,0.01694915254237288,0.06779661016949153,2,5.0,0.13333333333333333,0.19166666666666665,0.23333333333333334,-4255.461974961198,-4245.393630264536
ident_stage1_fixreport_fixveasym_tightfit_adapt_s02_w60d60,South_Africa,ok,4,60,60,2,0,2.3064258884564657,6.439863789400289,9.747664718644609,0.23728813559322035,0.31355932203389836,15,19.5,0.25833333333333336,0.30624999999999997,0.3333333333333333,-418.8224301710504,-408.20627556737134
ident_stage1_fixreport_fixveasym_tightfit_adapt_s02_w60d60,Thailand,ok,4,60,60,2,0,2.9639220488922082,4.283469295987504,4.269173217377176,0.1694915254237288,0.2288135593220339,11,14.5,0.21666666666666667,0.24583333333333335,0.275,-1163.595505450856,-1161.5295558332712
ident_stage1_fixreport_fixveasym_tightfit_adapt_s02_w60d60,Japan,ok,4,60,60,2,0,3.7500110342397748,4.38923246674487,11.465504135137522,0.1016949152542373,0.2245762711864407,7,14.25,0.125,0.22916666666666669,0.31666666666666665,-2193.866978242048,-2166.0035281114633
ident_stage1_fixreport_fixveasym_tightfit_adapt_s02_w60d60,China,ok,4,60,60,2,0,5053838517229110.0,4.2105263157894735,,0.0,0.00847457627118644,1,1.5,0.09166666666666666,0.12083333333333333,0.18333333333333332,-4243.665935216691,-4238.9746307704645
ident_stage1_fixreport_fixveasym_fixfit_adapt_s005_w60d60,South_Africa,ok,4,60,60,1,0,1.2018862339267136,14.891465766995525,25.458110211809995,0.15254237288135594,0.2584745762711864,10,16.25,0.2833333333333333,0.3375,0.4,-452.2458693046583,-451.07326857453074
ident_stage1_fixreport_fixveasym_fixfit_adapt_s005_w60d60,Thailand,ok,4,60,60,1,0,1.4902753187296838,8.398532336626731,21.926863225261634,0.1016949152542373,0.1440677966101695,7,9.5,0.11666666666666667,0.14791666666666667,0.19166666666666668,-1166.2215915225572,-1164.1890926477374
ident_stage1_fixreport_fixveasym_fixfit_adapt_s005_w60d60,Japan,ok,4,60,60,1,0,1.3512102923002105,12.226847950380904,5.231947446978973,0.01694915254237288,0.07203389830508475,2,5.25,0.1,0.13333333333333336,0.2,-2241.69939358132,-2239.1028586715784
ident_stage1_fixreport_fixveasym_fixfit_adapt_s005_w60d60,China,ok,4,60,60,1,0,1.8543608642451004,5.31106163009564,4.44416347960576,0.0,0.029661016949152543,1,2.75,0.125,0.1645833333333333,0.2,-4248.938380053596,-4244.6017601666745
